1.000,0.125,0.000,0.500,0.500,0.313,0.313,0.063,0.063,0.000,0.000,0.000,0.000
0.125,1.000,0.000,0.063,0.063,0.531,0.531,0.516,0.516,0.000,0.000,0.000,0.000
0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0.500,0.500
0.500,0.063,0.000,1.000,0.500,0.281,0.281,0.031,0.031,0.000,0.000,0.000,0.000
0.500,0.063,0.000,0.500,1.000,0.281,0.281,0.031,0.031,0.000,0.000,0.000,0.000
0.313,0.531,0.000,0.281,0.281,1.000,0.422,0.266,0.266,0.000,0.000,0.000,0.000
0.313,0.531,0.000,0.281,0.281,0.422,1.000,0.266,0.266,0.000,0.000,0.000,0.000
0.063,0.516,0.000,0.031,0.031,0.266,0.266,1.000,0.484,0.000,0.000,0.000,0.000
0.063,0.516,0.000,0.031,0.031,0.266,0.266,0.484,1.000,0.000,0.000,0.000,0.000
0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.500,0.250,0.250
0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.500,1.000,0.250,0.250
0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.250,1.000,0.500
0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.250,0.500,1.000
